VCF0004,VCF0301,VCF0303,VCF0305,VCF0311,VCF0312,VCF0803,VCF0218,VCF0224,VCF0723,VCF0503,VCF0504,VCF9265,VCF0806,VCF0809,VCF0839,VCF9049,VCF0834,VCF0838,VCF0876a,VCF0110,VCF0105a,VCF0113,VCF0310,VCF0130,VCF0050a,VCF0050b,VCF9255,VCF0729,VCF9036,VCF0104
1978,2,1,3,NA,2,2,75,50,2,3,4,NA,7,3,NA,NA,1,NA,NA,4,1,2,2,4,NA,2,NA,2,NA,1
1978,3,1,2,NA,1,3,50,50,1,4,4,NA,6,7,NA,NA,1,NA,NA,3,1,2,1,1,NA,1,NA,1,NA,2
1978,6,3,3,NA,1,9,50,75,2,NA,NA,NA,2,9,NA,NA,2,NA,NA,2,1,2,2,5,NA,4,NA,2,NA,1
1978,6,3,3,NA,2,1,40,60,1,5,2,NA,2,4,NA,NA,3,NA,NA,2,1,2,2,5,NA,3,NA,2,NA,1
1978,2,1,3,NA,1,9,70,50,1,NA,NA,NA,5,9,NA,NA,3,NA,NA,2,1,2,1,5,NA,4,NA,1,NA,2
1978,3,1,2,NA,1,4,70,70,1,3,5,NA,7,7,NA,NA,1,NA,NA,2,1,2,1,5,NA,3,NA,1,NA,2
1978,1,1,4,NA,1,4,97,65,1,NA,NA,NA,1,7,NA,NA,7,NA,NA,2,1,2,2,1,NA,3,NA,2,NA,1
1978,4,2,1,NA,1,9,NA,NA,1,NA,NA,NA,9,9,NA,NA,9,NA,NA,2,4,2,1,5,NA,5,NA,1,NA,1
1978,3,1,2,NA,1,4,50,50,1,NA,NA,NA,9,4,NA,NA,4,NA,NA,2,4,2,1,5,NA,5,NA,2,NA,1
1978,3,1,2,NA,1,3,80,50,4,3,6,NA,3,5,NA,NA,2,NA,NA,2,1,2,1,2,NA,3,NA,1,NA,2
1978,4,2,1,NA,1,9,60,60,1,NA,NA,NA,9,9,NA,NA,7,NA,NA,2,1,2,1,1,NA,4,NA,2,NA,1
1978,2,1,3,NA,2,4,70,60,1,2,5,NA,6,4,NA,NA,4,NA,NA,2,1,2,2,1,NA,4,NA,1,NA,2
1978,1,1,4,NA,1,4,97,50,1,2,2,NA,7,5,NA,NA,1,NA,NA,2,1,2,1,5,NA,4,NA,1,NA,2
1978,2,1,3,NA,1,9,70,45,1,NA,NA,NA,2,5,NA,NA,2,NA,NA,1,2,2,1,3,NA,5,NA,2,NA,1
1978,1,1,4,NA,2,4,97,50,4,4,4,NA,4,4,NA,NA,4,NA,NA,1,2,1,3,1,NA,4,NA,1,NA,2
1978,2,1,3,NA,1,9,85,30,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,2,1,1,3,NA,5,NA,1,NA,2
1978,2,1,3,NA,2,9,NA,NA,1,NA,NA,NA,1,1,NA,NA,4,NA,NA,1,2,1,2,1,NA,5,NA,1,NA,2
1978,NA,NA,1,NA,1,9,NA,NA,1,NA,NA,NA,9,5,NA,NA,3,NA,NA,2,2,1,2,7,NA,5,NA,1,NA,2
1978,3,1,2,NA,2,9,NA,NA,1,NA,NA,NA,9,1,NA,NA,7,NA,NA,2,2,1,2,3,NA,4,NA,1,NA,2
1978,1,1,4,NA,2,4,85,70,1,2,6,NA,5,6,NA,NA,6,NA,NA,3,1,2,3,4,NA,3,NA,2,NA,2
1978,6,3,3,NA,1,9,50,50,1,NA,NA,NA,7,9,NA,NA,7,NA,NA,2,1,2,1,5,NA,5,NA,1,NA,2
1978,5,3,2,NA,2,5,50,70,2,2,6,NA,7,5,NA,NA,4,NA,NA,3,1,2,2,1,NA,2,NA,2,NA,2
1978,3,1,2,NA,1,6,70,70,1,4,4,NA,9,3,NA,NA,4,NA,NA,2,1,2,1,4,NA,4,NA,1,NA,2
1978,5,3,2,NA,1,3,40,75,1,5,3,NA,7,7,NA,NA,2,NA,NA,3,1,2,2,1,NA,3,NA,2,NA,1
1978,7,3,4,NA,1,5,50,70,1,NA,NA,NA,7,7,NA,NA,3,NA,NA,3,1,2,1,1,NA,4,NA,1,NA,2
1978,6,3,3,NA,2,5,50,70,3,3,5,NA,4,5,NA,NA,1,NA,NA,4,1,2,3,5,NA,2,NA,2,NA,1
