RecordedDate,comments,party_id,lean_party,r_loss,r_win
Recorded Date,Please leave any comments you may have in the box below.,"Generally speaking, do you think of yourself as a Republican, a Democrat, an Independent, or what?",Do you consider yourself closer to the Democratic or Republican party?,"Unfortunately, your selected candidate, [QID22-ChoiceGroup-SelectedChoices], lost the [QID1-ChoiceGroup-SelectedChoices] Party primary. 

Your candidate's opponent, [QID22-ChoiceGroup-UnselectedChoices] will represent the Republican Party in the General Election.","Congratulations! Your selected candidate, [QID22-ChoiceGroup-SelectedChoices], won the Republican Party primary. 

Your candidate, [QID22-ChoiceGroup-SelectedChoices], will represent the Republican Party in the General Election."
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}"
2021-08-20 11:48:17,GOOD SURVEY,2,,,
2021-08-20 11:48:19,nice,1,,,1
2021-08-20 11:48:22,,2,,,
2021-08-20 11:48:31,good study,2,,,
2021-08-20 11:48:34,,2,,,
2021-08-20 11:48:48,like,2,,,
2021-08-20 11:48:50,,2,,,
2021-08-20 11:48:53,No,2,,,
2021-08-20 11:48:55,good,2,,,
2021-08-20 11:48:57,No comments,2,,,
2021-08-20 11:49:00,OK,2,,,
2021-08-20 11:49:01,No comments,2,,,
2021-08-20 11:49:01,,2,,,
2021-08-20 11:49:01,,2,,,
2021-08-20 11:49:09,This survey was good,2,,,
2021-08-20 11:49:27,no comment,1,,,1
2021-08-20 11:49:34,interesting one,2,,,
2021-08-20 11:49:35,Good survey and interesting.,2,,,
2021-08-20 11:49:39,no comments,1,,1,
2021-08-20 11:49:54,nice,3,2,1,
2021-08-20 11:50:03,good,2,,,
2021-08-20 11:50:05,GOOD,2,,,
2021-08-20 11:50:11,,2,,,
2021-08-20 11:50:13,GOOD,2,,,
2021-08-20 11:50:14,good study,1,,1,
2021-08-20 11:50:23,It's a quite informative survey,3,3,,
2021-08-20 11:50:34,none,2,,,
2021-08-20 11:50:34,None,1,,,
2021-08-20 11:50:36,No comments,1,,1,
2021-08-20 11:50:38,,2,,,
2021-08-20 11:50:45,NO COMMENTS,3,2,1,
2021-08-20 11:50:51,none,1,,,1
2021-08-20 11:50:53,good,1,,1,
2021-08-20 11:51:14,GOOD,3,2,,1
2021-08-20 11:51:42,None.,2,,,
2021-08-20 11:51:44,,2,,,
2021-08-20 11:51:46,,2,,,
2021-08-20 11:52:13,GOOD,2,,,
2021-08-20 11:52:21,Thank you,1,,,
2021-08-20 11:52:24,Nothing,1,,,
