ckey,rkey,cdate,rdate,cr11,cr12,cr17,rr17,cr18,rr18,cv01,rv01,cv02,rv02
20110043615,20110043615,19991230,20000131,NA,2,NA,NA,NA,2,2,NA,2,NA
20110043636,20110043636,19991229,20000126,NA,998,NA,NA,NA,NA,2,NA,1,NA
20110043642,20110043642,19991222,20000131,NA,2,NA,NA,NA,NA,3,NA,1,NA
20110043663,20110043663,20000121,20000126,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110043683,20110043683,20000121,20000212,5,NA,NA,NA,NA,NA,1,NA,2,NA
20110043722,20110043722,19991216,20000210,2,NA,NA,NA,NA,NA,3,NA,999,NA
20110043723,20110043723,19991216,20000201,3,NA,NA,NA,NA,1,3,NA,1,NA
20110043731,20110043731,19991229,20000213,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110043746,20110043746,20000119,20000210,998,NA,NA,2,NA,NA,4,NA,NA,NA
20110043749,20110043749,20000122,20000130,998,NA,NA,NA,NA,NA,1,NA,2,NA
20110043752,20110043752,20000121,20000213,NA,2,NA,NA,NA,NA,2,NA,1,NA
20110043760,20110043760,20000121,20000206,NA,NA,NA,NA,NA,NA,1,NA,1,NA
20110043764,20110043764,20000118,20000211,2,NA,NA,NA,NA,NA,3,NA,1,NA
20110043773,20110043773,19991227,20000212,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110043792,20110043792,20000120,20000213,NA,2,NA,NA,NA,NA,2,NA,1,NA
20110043808,20110043808,19991221,20000206,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110043812,20110043812,19991219,20000127,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110043828,20110043828,19991226,20000129,NA,NA,NA,NA,NA,NA,3,NA,998,NA
20110043829,20110043829,20000104,20000131,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110043847,20110043847,19991216,20000201,3,NA,NA,3,NA,NA,1,NA,2,NA
20110043861,20110043861,20000121,20000210,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110043889,20110043889,20000119,20000211,2,NA,NA,2,NA,NA,1,NA,1,NA
20110043906,20110043906,19991219,20000130,6,NA,NA,6,NA,NA,3,NA,1,NA
20110043914,20110043914,19991222,20000210,2,NA,NA,2,NA,NA,1,NA,2,NA
20110043921,20110043921,19991227,20000213,NA,2,NA,NA,NA,NA,2,NA,1,NA
20110043938,20110043938,19991229,20000127,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110043940,20110043940,19991230,20000206,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110043946,20110043946,20000108,20000129,2,NA,NA,NA,NA,NA,3,NA,2,NA
20110043985,20110043985,20000119,20000212,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110043990,20110043990,20000120,20000201,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110043991,20110043991,20000120,20000211,NA,NA,NA,NA,NA,NA,1,NA,1,NA
20110043998,20110043998,20000120,20000126,3,NA,NA,3,NA,NA,3,NA,1,NA
20110044005,20110044005,19991216,20000205,NA,2,NA,NA,NA,2,2,NA,1,NA
20110044008,20110044008,19991221,20000212,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110044027,20110044027,20000119,20000209,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110044041,20110044041,20000120,20000201,NA,1,NA,NA,NA,NA,3,NA,1,NA
20110044088,20110044088,20000103,20000126,2,NA,NA,NA,NA,NA,3,NA,1,NA
20110044094,20110044094,19991229,20000129,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110044112,20110044112,20000121,20000126,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110044114,20110044114,20000121,20000215,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110044115,20110044115,20000121,20000209,2,NA,NA,2,NA,NA,1,NA,1,NA
20110044126,20110044126,20000119,20000201,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110044135,20110044135,20000121,20000212,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110044154,20110044154,19991216,20000127,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110044168,20110044168,19991220,20000127,3,NA,NA,5,NA,NA,1,NA,1,NA
20110044198,20110044198,19991215,20000212,NA,998,NA,NA,NA,NA,2,NA,1,NA
20110044210,20110044210,19991217,20000210,NA,1,NA,999,NA,NA,998,NA,NA,NA
20110044216,20110044216,20000107,20000213,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110044227,20110044227,19991214,20000212,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110044246,20110044246,20000119,20000129,NA,2,NA,NA,NA,2,3,NA,1,NA
20110044255,20110044255,20000120,20000128,2,NA,NA,2,NA,NA,3,NA,1,NA
20110044271,20110044271,19991227,20000213,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110044308,20110044308,20000118,20000126,3,NA,NA,3,NA,NA,1,NA,1,NA
20110044310,20110044310,20000119,20000206,NA,NA,NA,NA,NA,NA,1,NA,1,NA
20110044319,20110044319,20000119,20000126,NA,2,NA,NA,NA,NA,2,NA,1,NA
20110044333,20110044333,20000120,20000201,5,NA,NA,NA,NA,NA,3,NA,1,NA
20110044354,20110044354,19991229,20000213,998,NA,NA,NA,NA,NA,1,NA,2,NA
20110044363,20110044363,20000118,20000201,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110044394,20110044394,20000120,20000126,3,NA,NA,3,NA,NA,1,NA,1,NA
20110044415,20110044415,19991229,20000128,2,NA,NA,NA,NA,NA,1,NA,1,NA
