rkey,date_c,date_r,ma01_c,ma01r4v_c,ma01_r,ma01r4v_r,mb01_c,mb02_c,mb02_r,rba01_c,rba01r9v_c,rba02_c,rba02r9v_c
10636093,20080815,20081108,3,,3,,3,4,4,NA,,NA,
10636101,20080823,20081105,2,,2,,3,1,1,NA,,NA,
10636197,20080817,20081105,3,,3,,3,3,4,NA,,NA,
10636280,20080812,20081109,3,,4,mix her votes,4,2,2,NA,,NA,
10636356,20080811,20081107,3,,3,,3,3,4,NA,,NA,
10636491,20080811,20081107,1,,1,,2,2,5,NA,,NA,
10636763,20080814,20081105,3,,1,,4,4,4,NA,,NA,
10636796,20080815,20081110,2,,2,,3,4,2,NA,,NA,
10637234,20080817,20081108,3,,3,,3,2,1,NA,,NA,
10637312,20080811,20081106,1,,1,,3,2,2,NA,,NA,
10637612,20080823,20081105,3,,2,,2,2,4,NA,,NA,
10638273,20080817,20081108,1,,1,,3,2,1,NA,,NA,
10638345,20080818,20081109,2,,2,,4,4,4,NA,,NA,
10638354,20080814,20081107,3,,3,,3,3,3,NA,,NA,
10638611,20080810,20081108,1,,1,,3,4,4,NA,,NA,
10639402,20080811,20081107,1,,1,,4,1,1,NA,,NA,
10639616,20080815,20081106,998,,1,,3,2,1,NA,,NA,
10639718,20080809,20081109,2,,2,,4,1,1,NA,,NA,
10639824,20080812,20081106,1,,3,,4,1,1,NA,,NA,
10639978,20080808,20081108,2,,2,,3,3,3,NA,,NA,
10640242,20080812,20081105,3,,3,,3,4,2,NA,,NA,
10640535,20080808,20081105,2,,2,,3,2,4,NA,,NA,
10640879,20080811,20081109,3,,3,,3,1,1,NA,,NA,
10641377,20080814,20081105,3,,3,,3,4,4,NA,,NA,
10641507,20080812,20081108,1,,1,,3,1,4,NA,,NA,
10641645,20080811,20081105,3,,3,,3,4,4,NA,,NA,
10641899,20080810,20081107,3,,3,,3,4,4,NA,,NA,
10642116,20080822,20081106,1,,1,,4,4,4,NA,,NA,
10642697,20080821,20081107,2,,3,,3,3,4,NA,,NA,
10642856,20080821,20081105,3,,3,,3,4,4,NA,,NA,
10643008,20080813,20081107,1,,1,,2,4,4,NA,,NA,
10643032,20080808,20081110,1,,1,,3,3,3,NA,,NA,
10643642,20080815,20081105,1,,1,,3,3,2,NA,,NA,
10643745,20080809,20081108,1,,1,,3,4,4,NA,,NA,
10643940,20080808,20081109,3,,3,,4,2,2,NA,,NA,
10643954,20080809,20081105,1,,1,,3,2,4,NA,,NA,
10644230,20080809,20081106,1,,1,,3,4,3,NA,,NA,
10644381,20080810,20081110,1,,1,,3,2,2,NA,,NA,
10644693,20080812,20081105,3,,1,,3,4,3,NA,,NA,
10644729,20080816,20081110,1,,1,,3,3,3,NA,,NA,
10644747,20080818,20081106,3,,3,,2,2,4,NA,,NA,
10644954,20080816,20081107,2,,2,,3,2,1,NA,,NA,
10645142,20080810,20081107,3,,3,,3,4,4,NA,,NA,
10645770,20080813,20081106,2,,3,,2,3,3,NA,,NA,
10645954,20080813,20081109,2,,2,,3,2,3,NA,,NA,
10646142,20080810,20081108,1,,1,,2,2,4,NA,,NA,
10646220,20080818,20081106,2,,3,,3,3,1,NA,,NA,
10646356,20080817,20081110,2,,2,,3,4,4,NA,,NA,
10646410,20080809,20081107,2,,3,,3,4,4,NA,,NA,
10646546,20080810,20081105,2,,2,,4,4,3,NA,,NA,
10646624,20080809,20081107,3,,3,,3,2,4,NA,,NA,
10646854,20080809,20081105,2,,2,,3,3,4,NA,,NA,
10646949,20080814,20081106,3,,3,,3,4,4,NA,,NA,
10646991,20080809,20081107,3,,998,,3,3,1,NA,,NA,
10647043,20080818,20081106,1,,1,,2,3,2,NA,,NA,
10647152,20080809,20081109,3,,3,,3,4,4,NA,,NA,
10647385,20080816,20081105,1,,1,,3,2,3,NA,,NA,
10647436,20080819,20081107,2,,2,,3,4,4,NA,,NA,
10647766,20080825,20081107,2,,2,,2,3,2,NA,,NA,
10647796,20080816,20081106,3,,3,,3,1,4,NA,,NA,
10648136,20080816,20081106,1,,1,,3,4,3,NA,,NA,
10648402,20080818,20081109,3,,2,,2,3,2,NA,,NA,
10648525,20080810,20081106,2,,2,,3,2,2,NA,,NA,
10648594,20080811,20081108,3,,3,,4,1,1,NA,,NA,
10648889,20080812,20081105,1,,3,,2,4,4,NA,,NA,
10649060,20080810,20081107,2,,2,,3,1,1,NA,,NA,
10649091,20080814,20081107,1,,1,,3,2,3,NA,,NA,
10649366,20080814,20081106,2,,2,,3,3,3,NA,,NA,
10649411,20080825,20081107,2,,2,,3,2,2,NA,,NA,
10649505,20080820,20081109,3,,3,,3,4,4,NA,,NA,
10649608,20080813,20081105,3,,1,,2,5,3,NA,,NA,
10649859,20080816,20081107,3,,1,,2,3,4,NA,,NA,
10649910,20080811,20081109,2,,2,,4,1,1,NA,,NA,
10650322,20080815,20081107,2,,2,,4,2,2,NA,,NA,
10650338,20080822,20081106,3,,3,,3,4,4,NA,,NA,
10650875,20080816,20081105,2,,2,,3,4,4,NA,,NA,
10651109,20080812,20081105,1,,1,,3,2,4,NA,,NA,
10651402,20080815,20081107,3,,3,,2,2,2,NA,,NA,
10651662,20080812,20081108,2,,2,,3,4,4,NA,,NA,
10651784,20080820,20081109,1,,1,,3,2,4,NA,,NA,
10651941,20080812,20081105,2,,2,,3,3,3,NA,,NA,
10651990,20080814,20081109,3,,1,,3,4,3,NA,,NA,
10652112,20080816,20081106,2,,2,,3,3,1,NA,,NA,
10652602,20080810,20081110,1,,1,,3,3,4,NA,,NA,
10652670,20080809,20081108,2,,2,,4,4,4,NA,,NA,
10652711,20080817,20081110,2,,2,,3,4,4,NA,,NA,
10652733,20080823,20081106,2,,2,,4,2,1,NA,,NA,
10652851,20080812,20081106,2,,2,,2,2,2,NA,,NA,
10652982,20080822,20081105,2,,2,,998,2,1,NA,,NA,
10653362,20080811,20081106,2,,1,,999,4,3,NA,,NA,
10653590,20080812,20081106,2,,999,,2,4,4,NA,,NA,
10653806,20080814,20081105,3,,3,,3,2,4,NA,,NA,
10653873,20080824,20081107,3,,4,depends on issues,2,2,3,NA,,NA,
10654009,20080817,20081105,2,,2,,3,4,4,NA,,NA,
10654262,20080810,20081107,2,,2,,3,1,2,NA,,NA,
10654735,20080819,20081108,1,,1,,3,2,2,NA,,NA,
10654836,20080817,20081109,2,,2,,4,1,1,NA,,NA,
10654849,20080812,20081107,1,,3,,2,3,4,NA,,NA,
10654972,20080813,20081107,3,,3,,3,3,3,NA,,NA,
10655082,20080810,20081108,3,,2,,3,4,4,NA,,NA,
10655208,20080808,20081106,1,,3,,3,4,4,NA,,NA,
10655721,20080811,20081105,1,,1,,3,2,4,NA,,NA,
10655792,20080815,20081106,2,,2,,3,2,3,NA,,NA,
10655893,20080810,20081105,2,,2,,3,3,4,NA,,NA,
10656026,20080810,20081109,3,,3,,3,4,3,NA,,NA,
10656079,20080813,20081105,2,,2,,3,3,3,NA,,NA,
10656133,20080811,20081105,3,,3,,3,2,4,NA,,NA,
10656402,20080811,20081105,2,,2,,3,1,1,NA,,NA,
10656404,20080820,20081107,1,,1,,3,2,4,NA,,NA,
10656515,20080812,20081109,2,,2,,3,2,2,NA,,NA,
10656606,20080816,20081105,2,,2,,3,4,4,NA,,NA,
10656699,20080808,20081107,3,,3,,3,4,4,NA,,NA,
10657752,20080812,20081107,2,,2,,3,2,2,NA,,NA,
10657797,20080815,20081105,1,,1,,4,4,4,NA,,NA,
10657878,20080821,20081107,3,,3,,3,1,2,NA,,NA,
10658018,20080824,20081105,3,,3,,3,1,3,NA,,NA,
10658240,20080819,20081109,2,,2,,3,4,4,NA,,NA,
10658430,20080810,20081109,1,,1,,2,4,4,NA,,NA,
10658696,20080811,20081109,2,,2,,2,4,4,NA,,NA,
10658878,20080810,20081109,2,,1,,3,2,1,NA,,NA,
10659255,20080814,20081109,1,,1,,3,2,2,NA,,NA,
10659562,20080809,20081107,3,,3,,3,2,2,NA,,NA,
10659564,20080823,20081108,998,,998,,3,2,2,NA,,NA,
10659694,20080811,20081108,3,,3,,3,4,4,NA,,NA,
10659907,20080814,20081106,3,,3,,4,1,2,NA,,NA,
10660387,20080816,20081107,1,,1,,3,3,4,NA,,NA,
10660525,20080817,20081110,3,,1,,3,4,4,NA,,NA,
10661086,20080814,20081105,2,,2,,3,2,2,NA,,NA,
10661087,20080812,20081109,1,,3,,4,3,3,NA,,NA,
10661146,20080808,20081105,3,,3,,3,4,4,NA,,NA,
10661322,20080815,20081105,2,,2,,3,3,4,NA,,NA,
10661731,20080809,20081106,1,,3,,3,2,1,NA,,NA,
10662004,20080814,20081105,2,,2,,3,4,1,NA,,NA,
10662512,20080819,20081106,1,,1,,3,2,2,NA,,NA,
10662906,20080809,20081107,2,,3,,3,1,1,NA,,NA,
10663007,20080814,20081107,2,,2,,2,2,2,NA,,NA,
10663245,20080814,20081107,999,,3,,3,4,4,NA,,NA,
10663250,20080814,20081108,1,,1,,3,3,4,NA,,NA,
10663277,20080827,20081110,2,,2,,3,3,3,NA,,NA,
10663453,20080815,20081105,2,,2,,2,2,2,NA,,NA,
10663478,20080817,20081107,4,conservrtive,2,,3,4,4,NA,,NA,
10663518,20080822,20081105,1,,1,,2,3,3,NA,,NA,
10663645,20080817,20081107,3,,3,,2,3,4,NA,,NA,
10664224,20080813,20081108,3,,998,,3,2,1,NA,,NA,
10664567,20080815,20081106,3,,2,,3,1,2,NA,,NA,
10665072,20080815,20081105,2,,2,,2,3,1,NA,,NA,
10665620,20080815,20081107,3,,2,,3,2,3,NA,,NA,
10665802,20080811,20081106,1,,1,,3,4,4,NA,,NA,
10665851,20080812,20081109,1,,1,,2,3,2,NA,,NA,
10666065,20080815,20081107,2,,2,,3,3,2,NA,,NA,
10666101,20080810,20081110,2,,2,,3,2,3,NA,,NA,
10666472,20080816,20081110,3,,2,,3,2,2,NA,,NA,
10666480,20080819,20081107,2,,2,,3,4,4,NA,,NA,
10666719,20080808,20081108,2,,2,,3,4,4,NA,,NA,
10667827,20080817,20081106,3,,3,,3,3,4,NA,,NA,
10667872,20080817,20081105,3,,3,,4,4,4,NA,,NA,
10668260,20080819,20081109,3,,3,,3,1,1,NA,,NA,
10668403,20080811,20081109,3,,998,,2,2,3,NA,,NA,
10669666,20080810,20081109,1,,1,,3,1,1,NA,,NA,
10669672,20080810,20081109,2,,2,,3,3,3,NA,,NA,
10669758,20080815,20081105,2,,2,,3,3,4,NA,,NA,
10669817,20080816,20081110,2,,2,,3,3,3,NA,,NA,
10670309,20080809,20081108,1,,1,,2,4,3,NA,,NA,
10670353,20080822,20081105,998,,1,,998,1,1,NA,,NA,
10670666,20080818,20081105,2,,2,,2,1,4,NA,,NA,
10670938,20080822,20081105,1,,1,,3,4,4,NA,,NA,
10670945,20080809,20081106,4,no,3,,3,4,4,NA,,NA,
10671034,20080820,20081108,3,,4,what my husband tells me to,3,3,4,NA,,NA,
10671213,20080809,20081109,3,,3,,3,3,1,NA,,NA,
10671564,20080809,20081107,2,,2,,4,3,1,NA,,NA,
10671668,20080815,20081106,3,,3,,3,4,3,NA,,NA,
10671705,20080815,20081107,3,,3,,3,2,4,NA,,NA,
10672041,20080810,20081105,3,,4,Congressional Party,4,2,2,NA,,NA,
10672257,20080809,20081108,2,,2,,2,3,4,NA,,NA,
10672482,20080823,20081105,2,,2,,3,4,3,NA,,NA,
10672540,20080826,20081105,3,,2,,3,3,2,NA,,NA,
10672569,20080820,20081105,1,,1,,3,1,1,NA,,NA,
10672824,20080817,20081109,2,,999,,1,2,3,NA,,NA,
10672941,20080812,20081106,2,,3,,3,2,1,NA,,NA,
10672989,20080816,20081105,1,,1,,3,2,2,NA,,NA,
10673176,20080815,20081107,1,,1,,2,3,4,NA,,NA,
10673316,20080809,20081108,3,,3,,3,4,4,NA,,NA,
