case,pid_7,ft_dem,ft_rep,ideo_self,ideo_dem,ideo_rep,primary_vote,primary_vote_choice_num,dis_democ,distrust_gov,wrong_track_dum,gov_run_for_few_dum,gov_care_post,wealth_gap_larger,age,race,weight,date,income,sex,pid_7_num,pid_3,therm_dem,therm_rep,primary_vote_dum,primary_vote_choice,cand_party,dis_democ_dum,trust_gov,distrust_gov_dum,officials_dont_care_dum,therm_parties_mean,therm_inparty,therm_outparty,year,below_50_qual_strict,wealth_gap_larger_dum,primary_vote_simple,below_35k_dum
2020_354189,Strong Democrat,100,0,4,4,7,Didn't Vote,NA,2,2,1,1,1,1,54,White,1.53681284913186,2020-10-12,13,Male,1,Democrat,100,0,0,NA,NA,0,Most of the Time,0,1,50,100,0,2020,warm,1,Didn't Vote,0
2020_354196,Weak Republican,0,60,5,1,4,Voted,8,4,2,1,1,1,1,41,White,0.68345432687337,2020-09-14,20,Female,6,Republican,0,60,1,Donald Trump,Republican,1,Most of the Time,0,1,30,60,0,2020,NA,1,Winner,0
2020_354202,Independent - Democrat,85,0,99,3,7,Didn't Vote,NA,2,2,1,1,3,1,72,Black,1.59213967198441,2020-09-19,17,Male,3,Democrat,85,0,0,NA,NA,0,Most of the Time,0,0,42.5,85,0,2020,warm,1,Didn't Vote,0
2020_354219,Weak Democrat,60,30,3,2,7,Voted,1,4,3,1,1,4,1,29,White,0.302616495038762,2020-09-18,15,Female,2,Democrat,60,30,1,Joe Biden,Democrat,1,About Half the time,0,0,45,60,30,2020,NA,1,Winner,0
2020_354240,Independent - Democrat,60,15,4,2,7,Didn't Vote,NA,4,4,1,1,2,1,43,White,4.52374204897835,2020-08-22,21,Male,3,Democrat,60,15,0,NA,NA,1,Some of the Time,1,1,37.5,60,15,2020,NA,1,Didn't Vote,0
2020_354288,Independent - Independent,40,0,3,3,7,Didn't Vote,NA,4,4,1,1,3,1,31,Other,0.834746540297245,2020-09-25,12,Male,4,Independent,40,0,0,NA,NA,1,Some of the Time,1,0,20,NA,NA,2020,NA,1,Didn't Vote,0
2020_354301,Strong Democrat,70,0,2,2,6,Voted,6,4,4,1,1,2,1,69,White,0.877096774870944,2020-10-09,17,Female,1,Democrat,70,0,1,Elizabeth Warren,Democrat,1,Some of the Time,1,1,35,70,0,2020,warm,1,Loser,0
2020_354318,Strong Democrat,70,0,2,2,7,Voted,5,4,4,1,1,1,1,39,Other,1.13429021796934,2020-09-13,14,Female,1,Democrat,70,0,1,Bernie Sanders,Democrat,1,Some of the Time,1,1,35,70,0,2020,warm,1,Loser,0
2020_354332,Strong Democrat,90,0,3,4,7,Voted,1,2,2,1,1,1,1,71,Black,0.338159096071927,2020-10-04,17,Female,1,Democrat,90,0,1,Joe Biden,Democrat,0,Most of the Time,0,1,45,90,0,2020,warm,1,Winner,0
2020_354363,Strong Democrat,100,0,99,4,7,Voted,1,2,3,1,1,2,1,43,Other,0.353438335209116,2020-08-20,1,Female,1,Democrat,100,0,1,Joe Biden,Democrat,0,About Half the time,0,1,50,100,0,2020,warm,1,Winner,1
2020_354394,Independent - Independent,0,50,4,2,6,Didn't Vote,NA,2,3,0,1,3,3,23,White,0.59317801180516,2020-09-19,6,Female,4,Independent,0,50,0,NA,NA,0,About Half the time,0,0,25,NA,NA,2020,NA,0,Didn't Vote,1
2020_354424,Strong Democrat,70,0,2,1,7,Voted,1,4,5,1,1,2,1,77,White,0.111121266746714,2020-09-20,1,Male,1,Democrat,70,0,1,Joe Biden,Democrat,1,Never,1,1,35,70,0,2020,warm,1,Winner,1
