boot,pid_3,below_50_qual_strict,prop_vote_general,mean_activist_index,prop_meetings,prop_work_cand,prop_display_merch,prop_donate,prop_watch_campaign_tv,prop_know_house_pre,prop_talk_pol_most,prop_vote_primary,prop_vote_inparty_house,prop_vote_outparty_pres,prop_vote_thirdparty_pres,prop_vote_inparty_pres
1564,Democrat,warm,0.7255410936909845,0.12194916636761893,0.08883800900683932,0.04278723434235123,0.14401558140089746,0.10477959830276433,0.8306732587704079,0.5785456588986002,0.2644253030499102,0.41981726428686206,0.482569501573623,0.05800584043692362,0.029069458572764748,0.9129247009903116
1564,Democrat,NA,0.6301841029843666,0.08445932599760111,0.047102656657055424,0.02704380908381423,0.07258873164297591,0.07716228476922962,0.7231158676709493,0.5530381620976443,0.25551628451780795,0.333296433746423,0.35767571096871803,0.154082509258727,0.0736302617084816,0.7722872290327913
1564,Republican,cold,0.7691109724136524,0.10866021846676212,0.06045213278361046,0.028776535500107298,0.06370454940997501,0.08662625901417,0.7414344162723728,0.7277869397293913,0.37241416734699295,0.3927981508850608,0.4284434947429562,0.2651495188370759,0.12480572844925247,0.6100447527136718
1564,Republican,warm,0.7755652525071602,0.1403053183463666,0.08670453992022491,0.03983151223662052,0.13386330082998416,0.14497613926843506,0.8390199849064375,0.6680145232613984,0.3226644775973963,0.40485762071646314,0.5351141626509363,0.04287468294012332,0.024073217489367325,0.9330520995705093
1564,Republican,NA,0.7011379999300924,0.1018524494234076,0.05601008005509698,0.027244809858909685,0.08482776698429055,0.10583668922022325,0.7617008480359737,0.6055918994196956,0.29418419207059965,0.3845458556938302,0.4328683140373486,0.11185799394171768,0.07869891539909094,0.8094430906591914
1565,Democrat,cold,0.6580472475255498,0.11097039921996266,0.07553449084914401,0.050059376348620656,0.11731851455179836,0.08140646147897897,0.7585476038220309,0.6187828753605877,0.2481251469347839,0.39935072902686397,0.3120858767915296,0.38364439725332544,0.1733798083838682,0.4429757943628063
1565,Democrat,warm,0.7224991370816952,0.12143826689915461,0.08297664627001855,0.044842030063626984,0.14593343551025287,0.10569053429102401,0.8284646753480321,0.5764758035578743,0.26962228884019945,0.41919767104977174,0.4740108505113025,0.06895680645780303,0.028412410409340037,0.9026307831328568
1565,Democrat,NA,0.6343565821928142,0.08412760641021981,0.055935543692081924,0.021464883400218036,0.06835146370232531,0.07699415727747333,0.7256308876976626,0.5501498817453526,0.25077785280300735,0.3164192868511949,0.3574066335913323,0.14917914839656946,0.07101645329903968,0.779804398304391
1565,Republican,cold,0.7595338924622907,0.11604785444316754,0.07392999796701906,0.03295512111234053,0.08610128073749239,0.08465053557383387,0.7849353362157219,0.7140689506455247,0.3722670307304089,0.34592137466509904,0.429281884128025,0.2302044888077394,0.1219972608736768,0.6477982503185837
1565,Republican,warm,0.7773680562845261,0.13609198721333676,0.08150539432164763,0.041772426148127935,0.13136899225611168,0.1397613816841286,0.8320569698183913,0.6633994622535488,0.30149563039526694,0.43025045504480414,0.5319173061278422,0.04475268881843214,0.02080305511578791,0.93444425606578
1565,Republican,NA,0.6902299765046299,0.09047826367033172,0.049170288344903584,0.022436674843866376,0.07856461787231862,0.08547270085854458,0.7442324474468951,0.5987575734300373,0.28756032855459857,0.3860347727906922,0.41686733485629607,0.12799657450466337,0.06049648806579829,0.8115069374295384
1566,Democrat,cold,0.6656808152929,0.10974725769854787,0.052827363814349874,0.026602253647478133,0.10993447571479661,0.09486437503409567,0.7931103701693725,0.6085890501323264,0.29542431691977855,0.38975371694213934,0.33761530568855763,0.35506693465063194,0.17767485011180462,0.4672582152375635
