StartDate,party_id,lean_party,d_loss,d_win,r_loss,r_win,control,therm_dem,therm_rep,therm_ind,satisfied_democracy,trust_gov,r_gen_vote_loss,r_gen_vote_win_con,d_gen_vote_loss,d_gen_vote_win_con,comments,pid_3,loss_dum,win_dum,control_dum,loss_dum_nc,group,date,therm_inparty,therm_outparty,vote_likely
2021-08-20 12:53:01,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,69,42,49,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T12:53:01Z,69,42,Somewhat likely
2021-08-20 12:52:20,Democrat,NA,NA,NA,NA,NA,Okay,76,62,38,NA,NA,NA,NA,NA,Extremely likely,None,Democrat,0,0,1,NA,Control,2021-08-20T12:52:20Z,76,62,NA
2021-08-20 12:50:44,Republican,NA,NA,NA,NA,NA,Okay,72,82,65,NA,NA,NA,Extremely likely,NA,NA,very nice,Republican,0,0,1,NA,Control,2021-08-20T12:50:44Z,82,72,NA
2021-08-20 12:46:25,Democrat,NA,NA,NA,NA,NA,Okay,91,6,24,NA,NA,NA,NA,NA,Extremely likely,None,Democrat,0,0,1,NA,Control,2021-08-20T12:46:25Z,91,6,NA
2021-08-20 11:44:49,Independent,Democratic,I understand. My candidate lost their primary.,NA,NA,NA,NA,7,2,10,Very Dissatisfied,Not at all,NA,NA,Neither likely nor unlikely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T11:44:49Z,7,2,Neither likely nor unlikely
2021-08-20 12:58:02,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,73,40,56,Neither Satisfied nor Dissatisfied,A moderate amount,NA,NA,Somewhat unlikely,NA,n/a,Democrat,1,0,0,1,Loss,2021-08-20T12:58:02Z,73,40,Somewhat unlikely
2021-08-20 12:33:43,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,100,0,70,Somewhat Satisfied,A great deal,NA,NA,Extremely likely,NA,good,Democrat,1,0,0,1,Loss,2021-08-20T12:33:43Z,100,0,Extremely likely
2021-08-20 13:02:27,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,62,76,67,Very Satisfied,A great deal,NA,Extremely likely,NA,NA,well,Republican,0,1,0,0,Win,2021-08-20T13:02:27Z,76,62,NA
2021-08-20 12:56:35,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,75,86,76,Very Satisfied,A lot,NA,NA,NA,Extremely likely,GOOD,Democrat,0,1,0,0,Win,2021-08-20T12:56:35Z,75,86,Extremely likely
2021-08-20 11:53:19,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,86,94,83,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,GOOD LEADER,Democrat,0,1,0,0,Win,2021-08-20T11:53:19Z,86,94,Somewhat likely
2021-08-20 13:07:21,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,80,74,87,Somewhat Satisfied,A lot,Somewhat likely,NA,NA,NA,Good Study,Republican,1,0,0,1,Loss,2021-08-20T13:07:21Z,74,80,Somewhat likely
2021-08-20 13:08:27,Democrat,NA,NA,NA,NA,NA,Okay,78,19,18,NA,NA,NA,NA,NA,Neither likely nor unlikely,good,Democrat,0,0,1,NA,Control,2021-08-20T13:08:27Z,78,19,NA
2021-08-20 13:11:41,Independent,Democratic,NA,NA,NA,NA,Okay,60,45,75,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T13:11:41Z,60,45,NA
