case,age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year,ideo_inparty,ideo_outparty,ideo_self_in_dif,ideo_self_out_dif,ideo_in_out_dif,age_group,ideo_self_std,ideo_self_prt_std,ideo_inparty_std,ideo_inparty_prt_std,ideo_self_in_dif_std,male_dum,white_dum
2012_183,44,Female,White,22,1.661,Didn't Vote,0,4,5,4,60,60,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,1
2012_184,51,Female,White,23,1.242,Didn't Vote,0,6,5,2,30,40,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,0.6666666666666666,NA,NA,NA,NA,0,1
2012_185,50,Male,White,23,2.823,Didn't Vote,0,NA,5,2,50,60,NA,0,NA,NA,0,NA,NA,2012,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1
2012_186,55,Male,White,1,0.895,Didn't Vote,0,2,7,1,60,15,Democrat,1,60,15,0,NA,Didn't Vote,2012,1,7,1,-5,6,3,-0.6666666666666666,0.8333333333333333,-1,1,-0.16666666666666674,1,1
2012_187,69,Male,White,NA,1.84,Didn't Vote,0,NA,6,6,85,40,Democrat,NA,85,40,0,NA,Didn't Vote,2012,6,6,NA,NA,0,5,NA,NA,0.6666666666666666,0.16666666666666669,NA,1,1
2012_188,53,Male,White,22,1.324,Didn't Vote,0,6,7,2,60,70,Republican,0,70,60,0,NA,Didn't Vote,2012,7,2,-1,4,5,3,0.6666666666666666,0.8333333333333333,1,1,-0.16666666666666674,1,1
2012_189,43,Female,White,27,1.815,Didn't Vote,0,NA,4,4,70,60,NA,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1
2012_190,63,Female,White,9,1.713,NA,NA,3,6,3,70,30,Democrat,1,70,30,NA,NA,NA,2012,3,6,0,-3,3,4,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.6666666666666666,0,0,1
2012_191,46,Female,White,21,1.228,Didn't Vote,0,4,5,3,40,60,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,0,1
2012_192,33,Female,White,13,0.523,Didn't Vote,0,4,NA,NA,70,60,Democrat,0,70,60,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,0,0.5,NA,NA,NA,0,1
