age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
82,Male,White,24,1.6548,Ted Cruz,1,6,5,2,18,62,Republican,0,62,18,1,Republican,Loser,2016
69,Male,White,22,0.6115,Hillary Clinton,1,3,7,2,85,0,Democrat,0,85,0,1,Democrat,Winner,2016
60,Female,White,28,0.7508,Hillary Clinton,1,3,7,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
30,Female,Black,8,0.963,Didn't Vote,NA,2,7,2,98,0,Democrat,1,98,0,0,NA,Didn't Vote,2016
67,Male,White,1,0.6324,Didn't Vote,NA,4,2,5,60,40,Democrat,1,60,40,0,NA,Didn't Vote,2016
33,Male,White,21,0.7091,Didn't Vote,NA,3,5,4,60,80,Democrat,0,60,80,0,NA,Didn't Vote,2016
43,Female,White,20,0.9361,Donald Trump,1,4,6,3,60,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
61,Female,White,24,0.8221,Donald Trump,1,6,6,1,31,99,Republican,0,99,31,1,Republican,Winner,2016
25,Female,White,17,2.1552,Bernie Sanders,1,2,6,3,60,15,Democrat,0,60,15,1,Democrat,Loser,2016
56,Male,Other,9,0.7917,Didn't Vote,NA,4,7,3,100,NA,Democrat,1,100,NA,0,NA,Didn't Vote,2016
53,Male,White,16,0.6238,Didn't Vote,NA,4,4,3,100,0,Independent,0,NA,NA,0,NA,Didn't Vote,2016
69,Male,White,11,0.3583,Ted Cruz,1,6,4,1,0,60,Republican,1,60,0,1,Republican,Loser,2016
47,Male,White,20,1.5587,Didn't Vote,NA,6,6,2,54,85,Republican,0,85,54,0,NA,Didn't Vote,2016
36,Female,White,13,0.4435,Didn't Vote,NA,2,6,2,70,40,Democrat,0,70,40,0,NA,Didn't Vote,2016
38,Male,White,23,0.7438,Bernie Sanders,1,2,7,3,99,0,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
81,Female,White,11,0.3617,Didn't Vote,NA,6,4,4,15,85,Republican,1,85,15,0,NA,Didn't Vote,2016
53,Male,White,19,1.322,Donald Trump,1,7,6,1,15,60,Republican,0,60,15,1,Republican,Winner,2016
68,Male,White,13,0.3084,Donald Trump,1,6,6,1,0,85,Republican,0,85,0,1,Republican,Winner,2016
18,Male,Other,15,0.7544,Didn't Vote,NA,99,4,4,40,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
76,Male,White,10,1.5279,Hillary Clinton,1,99,2,4,86,17,Democrat,1,86,17,1,Democrat,Winner,2016
68,Female,White,1,0.6603,Hillary Clinton,1,2,7,2,80,0,Democrat,1,80,0,1,Democrat,Winner,2016
45,Male,Other,26,3.5328,Didn't Vote,NA,4,6,3,60,15,Independent,0,NA,NA,0,NA,Didn't Vote,2016
31,Male,Other,22,0.2523,Bernie Sanders,1,2,6,2,70,40,Democrat,0,70,40,1,Democrat,Loser,2016
25,Female,White,14,0.698,Didn't Vote,NA,3,6,2,72,32,Independent,0,NA,NA,0,NA,Didn't Vote,2016
